Individual	PopName
Certhia_americana_BearLodge_ZB45156	bearlodge
Certhia_americana_BearLodge_ZB57067	bearlodge
Certhia_americana_BearLodge_ZB57068	bearlodge
Certhia_americana_BearLodge_ZB57069	bearlodge
Certhia_americana_BearLodge_ZB57070	bearlodge
Certhia_americana_BearLodge_ZB57071	bearlodge
Certhia_americana_Bighorns_ZB57065	bighorns
Certhia_americana_Bighorns_ZB57066	bighorns
Certhia_americana_BlackHills_ZB45190	bh_north
Certhia_americana_BlackHills_ZB45492	bh_north
Certhia_americana_BlackHills_ZB45521	bh_north
Certhia_americana_BlackHills_ZB45530	bh_south
Certhia_americana_BlackHills_ZB45544	bh_south
Certhia_americana_BlackHills_ZB45545	bh_south
Certhia_americana_BlackHills_ZB45546	bh_south
Certhia_americana_BlackHills_ZB45548	bh_north
Certhia_americana_BlackHills_ZB45558	bh_north
Certhia_americana_BlackHills_ZB45559	bh_north
Certhia_americana_BlackHills_ZB57295	bh_north
Certhia_americana_BlackHills_ZB57296	bh_north
Certhia_americana_Colorado_GMS1712	west
Certhia_americana_Colorado_GMS1718	west
Certhia_americana_Colorado_JK05-305	west
Certhia_americana_NCarolina_JK05-134	east
Certhia_americana_NCarolina_JK05-135	east
Certhia_americana_NCarolina_JK05-138	east
Certhia_americana_Utah_UWBM113162	west
Certhia_americana_Utah_UWBM113167	west
Certhia_americana_Utah_UWBM113168	west
Certhia_americana_WVirginia_UWBM107061	east
Certhia_americana_WVirginia_UWBM112054	east
Certhia_americana_WVirginia_UWBM112055	east
